0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:19:47 -0300] "GET /TCC_AGORA/faces/ControlCompra?action=Tabela HTTP/1.1" 200 7083
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:19:51 -0300] "GET /TCC_AGORA/faces/ControlProduto?action=Tabela HTTP/1.1" 200 7624
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:19:52 -0300] "GET /TCC_AGORA/faces/ControlFornecedores?action=Tabela HTTP/1.1" 200 7044
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:19:54 -0300] "GET /TCC_AGORA/faces/ControlCliente?action=Tabela HTTP/1.1" 200 8096
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:19:54 -0300] "GET /TCC_AGORA/faces/ControlFuncionario?action=Tabela HTTP/1.1" 200 8266
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:19:55 -0300] "GET /TCC_AGORA/faces/ControlFuncionario?action=Tabela HTTP/1.1" 200 8266
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:19:59 -0300] "GET /TCC_AGORA/faces/ControlVenda?action=Caixa HTTP/1.1" 200 11217
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:19:59 -0300] "GET /TCC_AGORA/faces/ControlVenda?action=Caixa HTTP/1.1" 200 11222
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:20:00 -0300] "GET /TCC_AGORA/faces/css/inserirItens.css HTTP/1.1" 200 568
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:20:00 -0300] "GET /TCC_AGORA/faces/img/search-icon.png HTTP/1.1" 200 1251
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:20:06 -0300] "GET /TCC_AGORA/faces/ControlContasPagar?action=Tabela HTTP/1.1" 200 7878
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:20:08 -0300] "GET /TCC_AGORA/faces/ControlContasPagar?action=Tabela HTTP/1.1" 200 7878
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:20:10 -0300] "GET /TCC_AGORA/faces/ControlContasPagar?action=Tabela HTTP/1.1" 200 7878
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:20:12 -0300] "GET /TCC_AGORA/faces/ControlContasReceber?action=Tabela HTTP/1.1" 200 8421
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:20:14 -0300] "GET /TCC_AGORA/faces/ControlLogin?action=Deslogar HTTP/1.1" 200 2454
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:20:14 -0300] "GET /TCC_AGORA/faces/css/CadastroCliente.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:20:26 -0300] "POST /TCC_AGORA/faces/ControlLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:20:26 -0300] "GET /TCC_AGORA/faces/index.jsp HTTP/1.1" 200 2886
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:20:59 -0300] "GET /TCC_AGORA/faces/css/CadastroCliente.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:22:13 -0300] "POST /TCC_AGORA/faces/ControlLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:22:13 -0300] "GET /TCC_AGORA/faces/index.jsp HTTP/1.1" 200 2886
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:22:15 -0300] "GET /TCC_AGORA/faces/ControlFornecedores?action=Tabela HTTP/1.1" 200 7044
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:22:16 -0300] "GET /TCC_AGORA/faces/ControlEstoque?action=Tabela HTTP/1.1" 200 7658
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:22:54 -0300] "GET /TCC_AGORA/faces/Login.xhtml HTTP/1.1" 200 2268
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:22:54 -0300] "GET /TCC_AGORA/faces/css/CadastroCliente.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:23:58 -0300] "GET /TCC_AGORA/faces/Login.xhtml HTTP/1.1" 200 2268
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:23:59 -0300] "GET /TCC_AGORA/faces/css/CadastroCliente.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:24:03 -0300] "POST /TCC_AGORA/faces/ControlLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:24:03 -0300] "GET /TCC_AGORA/faces/index.jsp HTTP/1.1" 200 2886
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:24:05 -0300] "GET /TCC_AGORA/faces/css/CadastroCliente.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:24:08 -0300] "GET /TCC_AGORA/faces/ControlCompra?action=Tabela HTTP/1.1" 200 7084
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:25:05 -0300] "GET /TCC_AGORA/index.html HTTP/1.1" 200 9590
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:25:05 -0300] "GET /TCC_AGORA/css/css.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:25:05 -0300] "GET /TCC_AGORA/img/carousel/3.jpg HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:25:05 -0300] "GET /TCC_AGORA/img/Logo3.png HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:25:05 -0300] "GET /TCC_AGORA/js/Jquery.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:25:05 -0300] "GET /TCC_AGORA/js/custom.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:25:05 -0300] "GET /TCC_AGORA/img/carousel/2.jpg HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:25:05 -0300] "GET /TCC_AGORA/img/img_index/1A.png HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:25:05 -0300] "GET /TCC_AGORA/img/img_index/4.png HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:25:05 -0300] "GET /TCC_AGORA/img/929455.jpg HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:25:10 -0300] "GET /TCC_AGORA/index.html HTTP/1.1" 200 9590
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:25:10 -0300] "GET /TCC_AGORA/css/css.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:25:10 -0300] "GET /TCC_AGORA/img/carousel/2.jpg HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:25:10 -0300] "GET /TCC_AGORA/img/carousel/3.jpg HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:25:10 -0300] "GET /TCC_AGORA/img/Logo3.png HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:25:10 -0300] "GET /TCC_AGORA/img/929455.jpg HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:25:10 -0300] "GET /TCC_AGORA/js/Jquery.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:25:10 -0300] "GET /TCC_AGORA/img/img_index/1A.png HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:25:10 -0300] "GET /TCC_AGORA/js/custom.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:25:10 -0300] "GET /TCC_AGORA/img/img_index/4.png HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:25:12 -0300] "GET /TCC_AGORA/quemSomos.html HTTP/1.1" 200 10394
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:25:12 -0300] "GET /TCC_AGORA/css/css.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:25:12 -0300] "GET /TCC_AGORA/img/Logo3.png HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:25:12 -0300] "GET /TCC_AGORA/js/Jquery.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:25:12 -0300] "GET /TCC_AGORA/js/custom.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:25:12 -0300] "GET /TCC_AGORA/img/339410.jpg HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:25:15 -0300] "GET /TCC_AGORA/css/css.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:25:15 -0300] "GET /TCC_AGORA/img/Logo3.png HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:25:16 -0300] "GET /TCC_AGORA/js/custom.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:25:16 -0300] "GET /TCC_AGORA/js/Jquery.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:25:16 -0300] "GET /TCC_AGORA/img/339410.jpg HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:25:16 -0300] "GET /TCC_AGORA/js/custom.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:25:44 -0300] "GET /TCC_AGORA/quemSomos.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:25:44 -0300] "GET /TCC_AGORA/css/css.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:25:44 -0300] "GET /TCC_AGORA/img/Logo3.png HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:25:44 -0300] "GET /TCC_AGORA/js/Jquery.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:25:44 -0300] "GET /TCC_AGORA/js/custom.js HTTP/1.1" 404 793
